news_headline,news_article,news_category,full_text,clean_text
IIT Kanpur team develops device that detects soil health in 90 seconds,An IIT Kanpur team has developed a portable soil testing device that can detect soil health in just 90 seconds. The device is linked to a mobile app named 'Bhu Parikshak' that suggests recommended fertiliser for crops after inspecting soil health. The device is based on near Infrared spectroscopy technology and it can test up to one lakh soil samples.,technology,IIT Kanpur team develops device that detects soil health in 90 seconds. An IIT Kanpur team has developed a portable soil testing device that can detect soil health in just 90 seconds. The device is linked to a mobile app named 'Bhu Parikshak' that suggests recommended fertiliser for crops after inspecting soil health. The device is based on near Infrared spectroscopy technology and it can test up to one lakh soil samples.,iit kanpur team develop device detect soil health second iit kanpur team develop portable soil testing device detect soil health second device link mobile app name bhu parikshak suggest recommend fertiliser crop inspect soil health device base near infrared spectroscopy technology test one lakh soil sample
No proposal to revoke ban on Chinese apps: Govt,"Union IT Minister Ashwini Vaishnaw told the Parliament on Wednesday that there's no proposal with the ministry to revoke the ban on blocked Chinese mobile applications. India in September 2020, had banned 118 China-linked mobile apps, including PUBG Mobile. In June 2020, India banned 59 apps that were mostly Chinese, including TikTok, SHAREit and UC Browser.",technology,"No proposal to revoke ban on Chinese apps: Govt. Union IT Minister Ashwini Vaishnaw told the Parliament on Wednesday that there's no proposal with the ministry to revoke the ban on blocked Chinese mobile applications. India in September 2020, had banned 118 China-linked mobile apps, including PUBG Mobile. In June 2020, India banned 59 apps that were mostly Chinese, including TikTok, SHAREit and UC Browser.",no proposal revoke ban chinese app govt union minister ashwini vaishnaw tell parliament wednesday no proposal ministry revoke ban block chinese mobile application india september ban china link mobile app include pubg mobile june india ban app mostly chinese include tiktok shareit uc browser
Excited about India's role in building metaverse: Mark Zuckerberg,"Meta's CEO Mark Zuckerberg said he's ""excited"" about the role that India will play in building the metaverse. Zuckerberg said, ""The reason why India is so exciting to me is two things – the entrepreneurial spirit combined with the scale of what can happen."" He further said that India's talent pool is playing a huge role in shaping the future.",technology,"Excited about India's role in building metaverse: Mark Zuckerberg. Meta's CEO Mark Zuckerberg said he's ""excited"" about the role that India will play in building the metaverse. Zuckerberg said, ""The reason why India is so exciting to me is two things – the entrepreneurial spirit combined with the scale of what can happen."" He further said that India's talent pool is playing a huge role in shaping the future.",excited indias role build metaverse mark zuckerberg metas ceo mark zuckerberg say excited role india play build metaverse zuckerberg say reason india exciting I two thing entrepreneurial spirit combine scale happen far say india talent pool play huge role shape future
"Paris' largest taxi firm suspends Tesla Model 3 cars as crash kills 1, injures 20","Paris' largest taxi company G7 has suspended the use of Tesla Model 3 cars in its fleet following a fatal crash over the weekend. One person was killed and another 20 were injured, leaving at least three people in intensive care, after a driver lost control of the vehicle. Tesla has denied any technical problems with the car.",technology,"Paris' largest taxi firm suspends Tesla Model 3 cars as crash kills 1, injures 20. Paris' largest taxi company G7 has suspended the use of Tesla Model 3 cars in its fleet following a fatal crash over the weekend. One person was killed and another 20 were injured, leaving at least three people in intensive care, after a driver lost control of the vehicle. Tesla has denied any technical problems with the car.",paris large taxi firm suspend tesla model car crash kill injures paris large taxi company g suspend use tesla model car fleet follow fatal crash weekend one person kill another injure leave least three people intensive care driver lose control vehicle tesla deny technical problem car
"Cabinet clears ₹76,000-cr PLI scheme for semiconductor production","The Union Cabinet has cleared a ₹76,000-crore production linked incentive (PLI) scheme for semiconductor production. Information and Broadcasting Minister Anurag Thakur said an ambitious project to establish a complete ecosystem of semiconductors and display boards manufacturing has been sanctioned. He added that ₹76,000 crore will be spent on this project in six years.",technology,"Cabinet clears ₹76,000-cr PLI scheme for semiconductor production. The Union Cabinet has cleared a ₹76,000-crore production linked incentive (PLI) scheme for semiconductor production. Information and Broadcasting Minister Anurag Thakur said an ambitious project to establish a complete ecosystem of semiconductors and display boards manufacturing has been sanctioned. He added that ₹76,000 crore will be spent on this project in six years.",cabinet clear cr pli scheme semiconductor production union cabinet clear crore production link incentive pli scheme semiconductor production information broadcasting minister anurag thakur say ambitious project establish complete ecosystem semiconductor display board manufacturing sanction add crore spend project six year
WhatsApp rolls out new feature to preview voice messages before sending,"WhatsApp on Tuesday released a preview feature for voice messages, which enables a user to preview their voice notes before sending them in a conversation. According to the help page for the feature, the option to preview a voice message will appear after you press the stop button to finish a recording. The feature is available on Android and iOS. 
",technology,"WhatsApp rolls out new feature to preview voice messages before sending. WhatsApp on Tuesday released a preview feature for voice messages, which enables a user to preview their voice notes before sending them in a conversation. According to the help page for the feature, the option to preview a voice message will appear after you press the stop button to finish a recording. The feature is available on Android and iOS. 
",whatsapp roll new feature preview voice message send whatsapp tuesday release preview feature voice message enable user preview voice note send conversation accord help page feature option preview voice message appear press stop button finish recording feature available android io
"Govt issues 'high severity' warning for Chrome users, says vulnerabilities found","The Indian Computer Emergency Response Team (CERT-In), a part of the IT ministry, has issued a 'high severity' warning for Google Chrome users. It said several vulnerabilities have been found in the Chrome browser that could be exploited by a remote attacker to execute arbitrary code on the users' system. It advised users to upgrade to the browser's latest version.",technology,"Govt issues 'high severity' warning for Chrome users, says vulnerabilities found. The Indian Computer Emergency Response Team (CERT-In), a part of the IT ministry, has issued a 'high severity' warning for Google Chrome users. It said several vulnerabilities have been found in the Chrome browser that could be exploited by a remote attacker to execute arbitrary code on the users' system. It advised users to upgrade to the browser's latest version.",govt issue high severity warn chrome user say vulnerability find indian computer emergency response team cert part ministry issue high severity warning google chrome user say several vulnerability find chrome browser could exploit remote attacker execute arbitrary code user system advise user upgrade browser late version
Ex-Twitter India head Maheshwari leaving company to work on edtech startup,"Ex-Twitter India head Manish Maheshwari, who relocated to US as Twitter's senior director, is leaving the company to work on an edtech startup. ""I'm partnering with Tanay Pratap, who has been a Senior Software Engineer with Microsoft, to reimagine education. We'll start by imparting employability training via a virtually immersive platform...which we're calling Metaversity,"" he tweeted.",technology,"Ex-Twitter India head Maheshwari leaving company to work on edtech startup. Ex-Twitter India head Manish Maheshwari, who relocated to US as Twitter's senior director, is leaving the company to work on an edtech startup. ""I'm partnering with Tanay Pratap, who has been a Senior Software Engineer with Microsoft, to reimagine education. We'll start by imparting employability training via a virtually immersive platform...which we're calling Metaversity,"" he tweeted.",ex twitter india head maheshwari leave company work edtech startup ex twitter india head manish maheshwari relocate twitter senior director leave company work edtech startup I partner tanay pratap senior software engineer microsoft reimagine education start impart employability training via virtually immersive platform call metaversity tweet
"Musk compares US Senator Warren to an 'angry mom', calls her 'Karen'","Elon Musk in a Twitter spat with Elizabeth Warren, over taxes, compared the US Senator to his friend's ""angry mom who'd randomly yell at everyone"". Musk also tweeted, ""Please don't call the manager on me, Senator Karen."" He added, ""If you opened your eyes for 2 seconds, you'd realize I'll pay more taxes than any American in history this year.""",technology,"Musk compares US Senator Warren to an 'angry mom', calls her 'Karen'. Elon Musk in a Twitter spat with Elizabeth Warren, over taxes, compared the US Senator to his friend's ""angry mom who'd randomly yell at everyone"". Musk also tweeted, ""Please don't call the manager on me, Senator Karen."" He added, ""If you opened your eyes for 2 seconds, you'd realize I'll pay more taxes than any American in history this year.""",musk compare senator warren angry mom call karen elon musk twitter spat elizabeth warren taxis compare us senator friend angry mom randomly yell everyone musk also tweet please not call manager I senator karen add open eye second would realize I pay taxis american history year
Will pay for news content to agencies: Google to French antitrust body,"Google has submitted a proposal to France's Competition Authority (CA) on how it would deal with news agencies and publishers in a dispute regarding the latter losing ad sales revenue. Google has proposed negotiation in ""good faith"" with news websites over the amount required to be paid to use their protected content as one of the measures.",technology,"Will pay for news content to agencies: Google to French antitrust body. Google has submitted a proposal to France's Competition Authority (CA) on how it would deal with news agencies and publishers in a dispute regarding the latter losing ad sales revenue. Google has proposed negotiation in ""good faith"" with news websites over the amount required to be paid to use their protected content as one of the measures.",pay news content agency google french antitrust body google submit proposal france competition authority would deal news agency publisher dispute regard latter lose ad sale revenue google propose negotiation good faith news website amount require pay use protect content one measure
